BaseName,Tag,Original_Value,Converted_Value,Change_Status
8 ENTrEVISTA 8,ExifTool:ExifToolVersion,13.4,13.4,Unchanged
8 ENTrEVISTA 8,File:FileType,DOC,PDF,Modified
8 ENTrEVISTA 8,File:FileTypeExtension,doc,pdf,Modified
8 ENTrEVISTA 8,File:MIMEType,application/msword,application/pdf,Modified
8 ENTrEVISTA 8,FlashPix:AppVersion,11.5606,,Removed from original
8 ENTrEVISTA 8,FlashPix:Author,Marcelo,,Removed from original
8 ENTrEVISTA 8,FlashPix:CharCountWithSpaces,13644,,Removed from original
8 ENTrEVISTA 8,FlashPix:Characters,11535,,Removed from original
8 ENTrEVISTA 8,FlashPix:CodePage,Windows Latin 1 (Western European),,Removed from original
8 ENTrEVISTA 8,FlashPix:Comments,,,Modified
8 ENTrEVISTA 8,FlashPix:CompObjUserType,Documento do Microsoft Office Word,,Removed from original
8 ENTrEVISTA 8,FlashPix:CompObjUserTypeLen,35,,Removed from original
8 ENTrEVISTA 8,FlashPix:Company,Brasil Virtual,,Removed from original
8 ENTrEVISTA 8,FlashPix:CreateDate,2010:07:02 14:05:00,,Removed from original
8 ENTrEVISTA 8,FlashPix:DocFlags,"1Table, ExtChar",,Removed from original
8 ENTrEVISTA 8,FlashPix:HeadingPairs,"TâÂ¡tulo, 1",,Removed from original
8 ENTrEVISTA 8,FlashPix:HyperlinksChanged,No,,Removed from original
8 ENTrEVISTA 8,FlashPix:Identification,Word 8.0,,Removed from original
8 ENTrEVISTA 8,FlashPix:Keywords,,,Modified
8 ENTrEVISTA 8,FlashPix:LanguageCode,Portuguese (Brazilian),,Removed from original
8 ENTrEVISTA 8,FlashPix:LastModifiedBy,Marcelo,,Removed from original
8 ENTrEVISTA 8,FlashPix:Lines,96,,Removed from original
8 ENTrEVISTA 8,FlashPix:LinksUpToDate,No,,Removed from original
8 ENTrEVISTA 8,FlashPix:ModifyDate,2010:11:16 12:51:00,,Removed from original
8 ENTrEVISTA 8,FlashPix:Pages,1,,Removed from original
8 ENTrEVISTA 8,FlashPix:Paragraphs,27,,Removed from original
8 ENTrEVISTA 8,FlashPix:RevisionNumber,16,,Removed from original
8 ENTrEVISTA 8,FlashPix:ScaleCrop,No,,Removed from original
8 ENTrEVISTA 8,FlashPix:Security,,,Modified
8 ENTrEVISTA 8,FlashPix:SharedDoc,No,,Removed from original
8 ENTrEVISTA 8,FlashPix:Software,Microsoft Office Word,,Removed from original
8 ENTrEVISTA 8,FlashPix:Subject,,,Modified
8 ENTrEVISTA 8,FlashPix:System,Windows,,Removed from original
8 ENTrEVISTA 8,FlashPix:Template,Normal,,Removed from original
8 ENTrEVISTA 8,FlashPix:Title,8 ENTrEVISTA 8,,Removed from original
8 ENTrEVISTA 8,FlashPix:TitleOfParts,8 ENTrEVISTA 8,,Removed from original
8 ENTrEVISTA 8,FlashPix:TotalEditTime,4.2 hours,,Removed from original
8 ENTrEVISTA 8,FlashPix:Word97,No,,Removed from original
8 ENTrEVISTA 8,FlashPix:Words,2136,,Removed from original
8 ENTrEVISTA 8,ICC-header:CMMFlags,,"Not Embedded, Independent",Added in converted
8 ENTrEVISTA 8,ICC-header:ColorSpaceData,,GRAY,Added in converted
8 ENTrEVISTA 8,ICC-header:ConnectionSpaceIlluminant,,0.9642 1 0.82491,Added in converted
8 ENTrEVISTA 8,ICC-header:DeviceAttributes,,"Reflective, Glossy, Positive, Color",Added in converted
8 ENTrEVISTA 8,ICC-header:DeviceManufacturer,,none,Added in converted
8 ENTrEVISTA 8,ICC-header:DeviceModel,,,Modified
8 ENTrEVISTA 8,ICC-header:PrimaryPlatform,,Apple Computer Inc.,Added in converted
8 ENTrEVISTA 8,ICC-header:ProfileCMMType,,Adobe Systems Inc.,Added in converted
8 ENTrEVISTA 8,ICC-header:ProfileClass,,Output Device Profile,Added in converted
8 ENTrEVISTA 8,ICC-header:ProfileConnectionSpace,,XYZ ,Added in converted
8 ENTrEVISTA 8,ICC-header:ProfileCreator,,Adobe Systems Inc.,Added in converted
8 ENTrEVISTA 8,ICC-header:ProfileDateTime,,1999:06:03 00:00:00,Added in converted
8 ENTrEVISTA 8,ICC-header:ProfileFileSignature,,acsp,Added in converted
8 ENTrEVISTA 8,ICC-header:ProfileID,,0,Added in converted
8 ENTrEVISTA 8,ICC-header:ProfileVersion,,2.1.0,Added in converted
8 ENTrEVISTA 8,ICC-header:RenderingIntent,,Perceptual,Added in converted
8 ENTrEVISTA 8,ICC_Profile:GrayTRC,,"(Binary data 524 bytes, use -b option to extract)",Added in converted
8 ENTrEVISTA 8,ICC_Profile:MediaBlackPoint,,0 0 0,Added in converted
8 ENTrEVISTA 8,ICC_Profile:MediaWhitePoint,,0.9642 1 0.82491,Added in converted
8 ENTrEVISTA 8,ICC_Profile:ProfileCopyright,,Copyright 1999 Adobe Systems Incorporated,Added in converted
8 ENTrEVISTA 8,ICC_Profile:ProfileDescription,,Dot Gain 20%,Added in converted
8 ENTrEVISTA 8,MS-DOC:Characters,11535,,Removed from original
8 ENTrEVISTA 8,MS-DOC:CreateDate,2010:07:02 12:05:00,,Removed from original
8 ENTrEVISTA 8,MS-DOC:LastPrinted,0000:00:00 00:00:00,,Removed from original
8 ENTrEVISTA 8,MS-DOC:Lines,96,,Removed from original
8 ENTrEVISTA 8,MS-DOC:ModifyDate,2010:11:16 12:51:25,,Removed from original
8 ENTrEVISTA 8,MS-DOC:Pages,1,,Removed from original
8 ENTrEVISTA 8,MS-DOC:Paragraphs,27,,Removed from original
8 ENTrEVISTA 8,MS-DOC:RevisionNumber,16,,Removed from original
8 ENTrEVISTA 8,MS-DOC:TotalEditTime,4.2 hours,,Removed from original
8 ENTrEVISTA 8,MS-DOC:Words,2136,,Removed from original
8 ENTrEVISTA 8,PDF:Author,,Marcelo,Added in converted
8 ENTrEVISTA 8,PDF:CreateDate,,2026:02:05 11:58:35-05:00,Added in converted
8 ENTrEVISTA 8,PDF:Creator,,Acrobat PDFMaker 25 for Word,Added in converted
8 ENTrEVISTA 8,PDF:Language,,PT-BR,Added in converted
8 ENTrEVISTA 8,PDF:Linearized,,Yes,Added in converted
8 ENTrEVISTA 8,PDF:ModifyDate,,2026:02:05 11:58:45-05:00,Added in converted
8 ENTrEVISTA 8,PDF:PDFVersion,,1.6,Added in converted
8 ENTrEVISTA 8,PDF:PageCount,,6,Added in converted
8 ENTrEVISTA 8,PDF:PageLayout,,OneColumn,Added in converted
