Drive,Title,DOC/X Size,A-2u Size,A-1b Size,,A-2u Multiplier,A-1b Multiplier
#3,1996- ryan,23,595,969,,25.86956522,42.13043478
#3,A biblioteca do diablo,21,131,506,,6.238095238,24.0952381
#3,A era dos funks,15,69,443,,4.6,29.53333333
#3,A ideia do excluido,16,124,498,,7.75,31.125
#3,A liberdade de expressao,16,527,901,,32.9375,56.3125
#3,A SOMA DE TODAS,18,130,504,,7.222222222,28
#3,A UNICA E FUNDAMENTAL,15,479,853,,31.93333333,56.86666667
#3,AA,13,469,845,,36.07692308,65
#3,ADENDO COREANO,23,148,522,,6.434782609,22.69565217
#3,AGORA,19,504,877,,26.52631579,46.15789474
#3,Ainda existem sebos de rua,18,452,823,,25.11111111,45.72222222
#3,ALE,19,125,500,,6.578947368,26.31578947
#3,anotacoes rodapes romance,17,574,950,,33.76470588,55.88235294
#3,APOCALIPSE NOW,18,487,861,,27.05555556,47.83333333
#3,aquela tardem em Itapua,15,478,852,,31.86666667,56.8
#3,aquivo fernandinho,190,1123,1491,,5.910526316,7.847368421
#3,ARREGARAM,14,445,819,,31.78571429,58.5
#3,Arthur Blair,23,120,495,,5.217391304,21.52173913
#3,ARTURZINHO,12,457,833,,38.08333333,69.41666667
#3,Baixada do glicerio,19,512,886,,26.94736842,46.63157895
#3,BARROSO,17,66,440,,3.882352941,25.88235294
#3,Benedetta,18,95,470,,5.277777778,26.11111111
#3,Boa noticia para escritorxs,18,111,484,,6.166666667,26.88888889
#3,Boston,17,120,494,,7.058823529,29.05882353
#3,Brasil medonho,18,118,492,,6.555555556,27.33333333
#3,Bungee Jumping,17,548,921,,32.23529412,54.17647059
#3,CARRASPANA numero 1,163,1170,1542,,7.17791411,9.460122699
#3,COMO ES ME FUMASSE,170,1068,1464,,6.282352941,8.611764706
#3,Como voce comeca o seu dia,16,154,528,,9.625,33
#3,COMUNICADO AOS LEITORES,18,139,513,,7.722222222,28.5
#3,Confissao,19,73,447,,3.842105263,23.52631579
#3,Conflito de geracoes,19,129,504,,6.789473684,26.52631579
#3,Contos do Tinder,19,518,890,,27.26315789,46.84210526
#3,Coreano,48,297,671,,6.1875,13.97916667
#3,DAYSI II,20,94,468,,4.7,23.4
#3,DAYSI III,24,125,499,,5.208333333,20.79166667
#3,daysi,23,129,502,,5.608695652,21.82608696
#3,Debulhar milho,20,445,827,,22.25,41.35
#3,Diamant,29,171,543,,5.896551724,18.72413793
#3,Diario de um corpo,18,587,960,,32.61111111,53.33333333
#3,direito de resposta,14,468,841,,33.42857143,60.07142857
#3,direito uol,14,517,889,,36.92857143,63.5
#3,E ISTO UM HOMEM,24,69,442,,2.875,18.41666667
#3,Em2003,18,476,849,,26.44444444,47.16666667
#3,Emse generalizando,20,84,458,,4.2,22.9
#3,Enguicado,17,483,856,,28.41176471,50.35294118
#3,entrevista antiga,14,89,462,,6.357142857,33
