BaseName,Tag,Original_Value,Converted_Value,Change_Status
(A2u Cloud) Chinese,ExifTool:ExifToolVersion,13.4,13.4,Unchanged
(A2u Cloud) Chinese,File:FileType,DOC,PDF,Modified
(A2u Cloud) Chinese,File:FileTypeExtension,doc,pdf,Modified
(A2u Cloud) Chinese,File:MIMEType,application/msword,application/pdf,Modified
(A2u Cloud) Chinese,FlashPix:AppVersion,12.0,,Removed from original
(A2u Cloud) Chinese,FlashPix:Author,Wang,,Removed from original
(A2u Cloud) Chinese,FlashPix:CharCountWithSpaces,4367,,Removed from original
(A2u Cloud) Chinese,FlashPix:Characters,3723,,Removed from original
(A2u Cloud) Chinese,FlashPix:CodePage,Windows Traditional Chinese (Taiwan),,Removed from original
(A2u Cloud) Chinese,FlashPix:CompObjUserType,Microsoft Office Word 97-2003 Document,,Removed from original
(A2u Cloud) Chinese,FlashPix:CompObjUserTypeLen,39,,Removed from original
(A2u Cloud) Chinese,FlashPix:Company,,,Modified
(A2u Cloud) Chinese,FlashPix:CreateDate,2015:03:28 16:53:00,,Removed from original
(A2u Cloud) Chinese,FlashPix:DocFlags,"1Table, ExtChar, Far east",,Removed from original
(A2u Cloud) Chinese,FlashPix:HeadingPairs,"Title, 1",,Removed from original
(A2u Cloud) Chinese,FlashPix:HyperlinksChanged,No,,Removed from original
(A2u Cloud) Chinese,FlashPix:Identification,Word 8.0,,Removed from original
(A2u Cloud) Chinese,FlashPix:Keywords,,,Modified
(A2u Cloud) Chinese,FlashPix:LanguageCode,English (US),,Removed from original
(A2u Cloud) Chinese,FlashPix:LastModifiedBy,Wang,,Removed from original
(A2u Cloud) Chinese,FlashPix:LastPrinted,2015:04:10 16:03:00,,Removed from original
(A2u Cloud) Chinese,FlashPix:Lines,31,,Removed from original
(A2u Cloud) Chinese,FlashPix:LinksUpToDate,No,,Removed from original
(A2u Cloud) Chinese,FlashPix:ModifyDate,2015:04:22 04:21:00,,Removed from original
(A2u Cloud) Chinese,FlashPix:Pages,6,,Removed from original
(A2u Cloud) Chinese,FlashPix:Paragraphs,8,,Removed from original
(A2u Cloud) Chinese,FlashPix:RevisionNumber,126,,Removed from original
(A2u Cloud) Chinese,FlashPix:ScaleCrop,No,,Removed from original
(A2u Cloud) Chinese,FlashPix:Security,,,Modified
(A2u Cloud) Chinese,FlashPix:SharedDoc,No,,Removed from original
(A2u Cloud) Chinese,FlashPix:Software,Microsoft Office Word,,Removed from original
(A2u Cloud) Chinese,FlashPix:Subject,,,Modified
(A2u Cloud) Chinese,FlashPix:System,Windows,,Removed from original
(A2u Cloud) Chinese,FlashPix:Template,Normal,,Removed from original
(A2u Cloud) Chinese,FlashPix:Title,,,Modified
(A2u Cloud) Chinese,FlashPix:TitleOfParts,,,Modified
(A2u Cloud) Chinese,FlashPix:TotalEditTime,3.5 hours,,Removed from original
(A2u Cloud) Chinese,FlashPix:Word97,No,,Removed from original
(A2u Cloud) Chinese,FlashPix:Words,652,,Removed from original
(A2u Cloud) Chinese,ICC-header:CMMFlags,,"Not Embedded, Independent",Added in converted
(A2u Cloud) Chinese,ICC-header:ColorSpaceData,,GRAY,Added in converted
(A2u Cloud) Chinese,ICC-header:ConnectionSpaceIlluminant,,0.9642 1 0.82491,Added in converted
(A2u Cloud) Chinese,ICC-header:DeviceAttributes,,"Reflective, Glossy, Positive, Color",Added in converted
(A2u Cloud) Chinese,ICC-header:DeviceManufacturer,,none,Added in converted
(A2u Cloud) Chinese,ICC-header:DeviceModel,,,Modified
(A2u Cloud) Chinese,ICC-header:PrimaryPlatform,,Apple Computer Inc.,Added in converted
(A2u Cloud) Chinese,ICC-header:ProfileCMMType,,Adobe Systems Inc.,Added in converted
(A2u Cloud) Chinese,ICC-header:ProfileClass,,Output Device Profile,Added in converted
(A2u Cloud) Chinese,ICC-header:ProfileConnectionSpace,,XYZ ,Added in converted
(A2u Cloud) Chinese,ICC-header:ProfileCreator,,Adobe Systems Inc.,Added in converted
(A2u Cloud) Chinese,ICC-header:ProfileDateTime,,1999:06:03 00:00:00,Added in converted
(A2u Cloud) Chinese,ICC-header:ProfileFileSignature,,acsp,Added in converted
(A2u Cloud) Chinese,ICC-header:ProfileID,,0,Added in converted
(A2u Cloud) Chinese,ICC-header:ProfileVersion,,2.1.0,Added in converted
(A2u Cloud) Chinese,ICC-header:RenderingIntent,,Perceptual,Added in converted
(A2u Cloud) Chinese,ICC_Profile:GrayTRC,,"(Binary data 524 bytes, use -b option to extract)",Added in converted
(A2u Cloud) Chinese,ICC_Profile:MediaBlackPoint,,0 0 0,Added in converted
(A2u Cloud) Chinese,ICC_Profile:MediaWhitePoint,,0.9642 1 0.82491,Added in converted
(A2u Cloud) Chinese,ICC_Profile:ProfileCopyright,,Copyright 1999 Adobe Systems Incorporated,Added in converted
(A2u Cloud) Chinese,ICC_Profile:ProfileDescription,,Dot Gain 20%,Added in converted
(A2u Cloud) Chinese,MS-DOC:Characters,3723,,Removed from original
(A2u Cloud) Chinese,MS-DOC:CreateDate,2015:03:28 12:53:00,,Removed from original
(A2u Cloud) Chinese,MS-DOC:LastPrinted,2015:04:10 12:03:00,,Removed from original
(A2u Cloud) Chinese,MS-DOC:Lines,31,,Removed from original
(A2u Cloud) Chinese,MS-DOC:ModifyDate,2015:04:22 04:21:45,,Removed from original
(A2u Cloud) Chinese,MS-DOC:Pages,6,,Removed from original
(A2u Cloud) Chinese,MS-DOC:Paragraphs,8,,Removed from original
(A2u Cloud) Chinese,MS-DOC:RevisionNumber,126,,Removed from original
(A2u Cloud) Chinese,MS-DOC:TotalEditTime,3.5 hours,,Removed from original
